-0.3505,0.2976,0.4656,0.1382,-0.0128,-0.3816,0.4262,0.4179,-0.3359,0.4637
0.2732,-0.3066,-0.1718,0.4222,-0.0371,0.0598,-0.4024,-0.2564,0.1633,0.4835
-0.4787,-0.1085,0.1935,-0.4620,-0.1914,-0.4433,-0.0587,-0.1120,-0.0700,0.0883
0.1759,0.2423,-0.0088,0.4854,-0.3122,0.1665,-0.2417,-0.0588,0.2108,-0.1604
-0.1052,-0.0406,0.0345,0.2890,-0.0411,-0.1328,0.1351,-0.3781,-0.0549,-0.1191
0.4567,0.3073,-0.4134,0.4887,0.4912,-0.2979,-0.1701,0.1871,0.1660,0.3961
-0.4814,0.0371,0.2784,0.1610,0.2791,0.2057,0.3137,-0.0691,0.4986,-0.0021
0.1757,0.0245,-0.4875,-0.0945,0.2283,-0.2585,-0.2089,-0.0725,0.3032,0.0248
-0.0348,0.3281,0.3695,0.0925,0.1789,-0.1921,-0.4118,-0.0430,0.0353,-0.0311
-0.0108,-0.4553,-0.2157,0.0826,-0.4883,0.0303,-0.2442,0.4824,0.2572,-0.2637
0.1217,0.1090,-0.2030,0.0643,0.0428,-0.2988,-0.4949,0.3149,0.0638,-0.4579
0.4807,0.1465,0.0039,0.1270,-0.2492,0.3460,-0.4475,-0.2068,-0.2934,0.3667
0.3845,0.3644,-0.0283,0.4698,-0.1279,0.0854,-0.0034,0.3967,0.3220,0.4025
0.1802,0.2086,-0.0595,-0.4574,0.3170,0.1934,0.1755,-0.4862,-0.1888,0.2011
0.1768,0.2149,-0.0621,-0.1252,-0.4574,-0.1695,0.2065,0.0129,-0.2869,0.4700
0.4917,-0.0499,-0.0788,0.4010,-0.4022,-0.1225,-0.2645,-0.1281,0.0219,-0.0354
-0.2823,-0.0134,0.1125,0.3096,-0.3011,-0.3633,-0.4685,0.2913,-0.2374,-0.0674
-0.3070,0.2581,0.4294,0.1841,0.4496,0.1366,0.3044,-0.2531,0.2554,-0.3180
-0.0442,-0.0077,-0.2997,0.4244,-0.1627,0.2162,0.4009,0.4389,-0.0076,-0.1585
-0.3302,-0.0619,-0.3733,-0.1214,-0.0575,-0.2244,-0.3675,0.2216,-0.2228,0.3587
0.4862,-0.4026,0.2072,-0.1645,-0.0020,-0.2558,-0.1934,-0.4061,0.3689,0.1339
-0.2138,-0.3947,0.0950,0.1092,-0.3849,-0.3309,0.2777,0.3077,-0.0449,0.2350
0.0991,-0.1276,0.2202,0.2935,0.0044,0.1013,-0.2813,-0.1795,-0.4199,0.0414
0.1515,-0.4658,0.0134,0.3557,-0.3412,0.0205,-0.0526,0.3724,-0.4366,0.0645
-0.4222,0.0937,0.0628,-0.1632,0.3026,0.2083,-0.4852,0.1567,0.3962,-0.1188
0.4645,0.2885,-0.3690,0.4259,-0.1571,0.1976,-0.4272,0.3820,-0.2487,-0.1859
-0.1830,-0.2361,0.0593,-0.2704,-0.1803,-0.3143,0.0360,0.3316,0.1689,0.4650
